Espèce,Ordre,Sous-ordre,Stridulation,Son,Fréquences dominantes (kHz),Ultrasons,Habitat,Zone,Début activité principale,Fin activité principale,Notes
Metrioptera saussuriana,Orthoptera,Ensifera,Oui,Stridulation,16 - 22 ,,"Alpages, prairies humides, landes",Occitanie,Juin,Novembre,
Miramella alpina alpina,Orthoptera,Caelifera,Non,No,,,,,,,
Miramella alpina subalpina,Orthoptera,Caelifera,Non,No,,,"Lisières, bords de ruisseaux, prairies, tourbières, landes d'altitude, pâturages",Occitanie,Juin,Octobre,
Modicogryllus algirius algirius,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Bois clairs thermophiles, jardins, prairies",Méditerranée,Avril,Septembre,
Modicogryllus frontalis,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Mogoplistes brunneus,Orthoptera,Ensifera,Non,No,,,Litière sous chênaie verte,Méditerranée,Juin,Novembre,
Montana montana,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Myrmecophilus acervorum,Orthoptera,Ensifera,Non,No,,,Fourmilières,Méditerranée,Janvier,Décembre,Pic au printemps et été
Myrmecophilus aequispina,Orthoptera,Ensifera,Non,No,,,Fourmilières,Méditerranée,Janvier,Décembre,Pic au printemps et été
Myrmecophilus fuscus,Orthoptera,Ensifera,Non,No,,,Fourmilières,Pyrénées-orientales,Janvier,Décembre,Pic au printemps et été
Myrmecophilus myrmecophilus,Orthoptera,Ensifera,Non,No,,,Fourmilières,Méditerranée,Janvier,Décembre,Pic au printemps et été
Myrmeleotettix antennatus,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Myrmeleotettix maculatus maculatus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pelouses rocailleuses et landes, milieux sableux",Occitanie,Mai,Octobre,
Nadigella formosanta,Orthoptera,Caelifera,Inconnue,Unknown,,,,,,,
Natula averni,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Roselières, jonchaies, fourrés",Corse,Avril,Octobre,
Nemobius sylvestris sylvestris,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Boisements, lisières, buissons, prairies",Occitanie,Janvier,Décembre,Pic en été
Odontopodisma decipiens insubrica,Orthoptera,Caelifera,Non,No,,,,,,,
Oecanthus dulcisonans,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Strate arbustive et herbacée haute, ripisylve",Méditerranée,Juillet,Octobre,
Oecanthus pellucens pellucens,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Pelouses, strate arbustive, friches, vignes",Occitanie,Juin,Octobre,
Oedaleus decorus,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Milieux sableux, pierreux, chauds et secs",Occitanie,Juin,Octobre,
Oedipoda caerulescens caerulescens,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,Milieux pionniers secs avec végétation lacunaires,Occitanie,Juin,Novembre,
Oedipoda caerulescens sardeti,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,Milieux pionniers secs avec végétation lacunaires,Corse,Juin,Octobre,
Oedipoda charpentieri,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Pelouses, guarrigues, friches et formations steppiques",Méditerranée,Juin,Septembre,
Oedipoda coerulea,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,Milieux rocailleux ou rocheux,Occitanie,Juin,Novembre,
Oedipoda fuscocincta morini,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,Milieux rocheux et caillouteux,Corse,Juin,Octobre,
Oedipoda germanica germanica,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Milieux rocailleux ou rocheux, lits de galets",Occitanie,Juin,Novembre,
Oligoglena tibialis,Hemiptera,Cicadomorpha,Oui,Timbalization,16 - 22 ,,"Strate arborée, arbustive et herbacée",Alpes-Maritimes,Juin,Juin,
Omocestus antigai antigai,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses et landes rocailleuses d'altitude,Pyrénées-orientales,Juillet,Octobre,
Omocestus antigai bellmanni,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses rocailleuses à Genévrier nain,Pyrénées-orientales,Juillet,Octobre,
Omocestus defauti,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses rocailleuses et éboulis de moyenne altitude,Corse,Juin,Octobre,
Omocestus haemorrhoidalis haemorrhoidalis,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pelouses et prairies sèches, landes rocailleuses d'altitude",Occitanie,Juin,Novembre,
Omocestus petraeus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Milieux secs rocailleux, formations steppiques",Occitanie,Mai,Octobre,
Omocestus raymondi,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Milieux secs et rocailleux, éboulis d'altitude",Occitanie,Avril,Décembre,
Omocestus rufipes,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Milieux secs au Nord et humides au Sud,Occitanie,Mars,Décembre,
Omocestus viridulus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Prairies, pâturages gras, tourbières, marais et alpages",Occitanie,Mai,Novembre,
Pachytrachis gracilis,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Pachytrachis striolatus,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Paracaloptenus bolivari,Orthoptera,Caelifera,Non,No,,,"Milieux rocailleux secs : pelouses, fruticées et landes à genêts",Occitanie,Juin,Novembre,
Paracinema tricolor bisignata,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Prairies, marais, roselières et fossés",Occitanie,Juin,Octobre,
Paratettix meridionalis,Orthoptera,Caelifera,Non,No,,,"Au bord de l'eau : galets, sables alluvions et vases",Occitanie,Février,Octobre,
Petaloptila aliena,Orthoptera,Ensifera,Non,No,,,"Versant rocailleux, anfractuosités",Pyrénées-orientales,Juillet,Novembre,
Petaloptila andreinii,Orthoptera,Ensifera,Non,No,,,"Milieux xérothermophiles et lithiques, anfractuosités",Corse,Juillet,Octobre,
Pezotettix giornae,Orthoptera,Caelifera,Non,No,,,"Lisières, pelouses, cultures, milieux humides du sud",Occitanie,Juin,Mars,
Phaneroptera falcata,Orthoptera,Ensifera,Oui,Stridulation,19 – 23,Oui,"Prairies à herbes hautes, haies, bosquets",Occitanie,Juin,Novembre,
Phaneroptera laticerca,Orthoptera,Ensifera,Oui,Stridulation,19 - 23,Oui,"Haies, lisières, friches",Occitanie,Juin,Novembre,
Phaneroptera nana,Orthoptera,Ensifera,Oui,Stridulation,~ 18,Oui,"Haies, lisières, friches",Occitanie,Juin,Novembre,
Pholidoptera aptera aptera,Orthoptera,Ensifera,Oui,Stridulation,15 - 35,Oui,"Lisières, mégaphorbiaies, landes basses",Alpes,Juin,Novembre,
Pholidoptera fallax,Orthoptera,Ensifera,Oui,Stridulation,16-22,,"Lisières, fourrés, ronciers",Alpes-Maritimes,Juillet,Novembre,
Pholidoptera femorata,Orthoptera,Ensifera,Oui,Stridulation,16 - 20,Oui,Strate herbacée thermophile dense,Occitanie,Juin,Octobre,
Pholidoptera griseoaptera,Orthoptera,Ensifera,Oui,Stridulation,16 - 20,Oui,"Lisières forestières, haies, fourrés mésophiles",Occitanie,Juin,Novembre,
Pholidoptera littoralis insubrica,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Pholidoptera littoralis littoralis,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Platycleis affinis affinis,Orthoptera,Ensifera,Oui,Stridulation,~ 18 ,,Friches et fourrés thermophiles,Occitanie,Juin,Novembre,
Platycleis albopunctata albopunctata,Orthoptera,Ensifera,Oui,Stridulation,~ 19 ,,"Pelouses sèches à végétation haute, landes basses",Occitanie,Juin,Novembre,
Platycleis albopunctata monticola,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,"Pelouses sèches, talus, landes basses",Corse,Juillet,Novembre,
Platycleis falx laticauda,Orthoptera,Ensifera,Oui,Stridulation,~ 18 ,,Friches et fourrés thermophiles,Méditerranée,Juin,Septembre,
Platycleis grisea,Orthoptera,Ensifera,Oui,Stridulation,~ 23,,"Pelouses sèches, talus, landes basses",Alpes-Maritimes,Juillet,Novembre,
Platycleis intermedia intermedia,Orthoptera,Ensifera,Oui,Stridulation,~ 19 ,,Friches et fourrés thermophiles,Méditerranée,Juin,Octobre,
Platycleis sabulosa,Orthoptera,Ensifera,Oui,Stridulation,~ 20 ,,"Friches et fourrés thermophiles, substrats sablonneux",Méditerranée,Juin,Octobre,
Podisma amedegnatoae,Orthoptera,Caelifera,Non,No,,,"Milieux rocheux et caillouteux, végétation rare ou rase",Provence-Alpes-Côte-d'Azur,Mai,Octobre,
Podisma dechambrei dechambrei,Orthoptera,Caelifera,Non,No,,,"Milieux rocheux et caillouteux, gazons d'altitude, pelouses et éboulis",Provence-Alpes-Côte-d'Azur,Juin,Novembre,
Podisma pedestris pedestris,Orthoptera,Caelifera,Non,No,,,"Milieux rocheux et caillouteux, gazons d'altitude, pelouses et éboulis",Occitanie,Juin,Novembre,
Podismopsis keisti,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Podismopsis styriaca,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Poecilimon amissus,Orthoptera,Ensifera,Oui,Stridulation,20 – 45,,,,,,
Poecilimon gracilis,Orthoptera,Ensifera,Oui,Stridulation,20 – 45,,,,,,
Poecilimon intermedius,Orthoptera,Ensifera,Non,No,,,,,,,
Poecilimon ornatus,Orthoptera,Ensifera,Oui,Stridulation,20 – 45,,,,,,
Poecilimon schmidtii,Orthoptera,Ensifera,Oui,Stridulation,20 – 45,,,,,,
Poecilimon ukrainicus,Orthoptera,Ensifera,Oui,Stridulation,20 – 45,,,,,,
Polysarcus denticauda,Orthoptera,Ensifera,Oui,Stridulation,~ 18 ,,"Alpages, prés de fauche, pelouses caillouteuses",Occitanie,Mai,Octobre,
Polysarcus scutatus,Orthoptera,Ensifera,Oui,Stridulation,~ 18 ,,"Alpages, prés de fauche, pelouses caillouteuses",Occitanie,Juin,Septembre,
Prionotropis azami,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Guarrigues, pelouses steppiques",Provence-Alpes-Côte-d'Azur,Mai,Août,
Prionotropis rhodanica,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Formations steppiques,Plaine de Crau,Mai,Juillet,
Pseudochorthippus montanus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Tourbières, marais, prairies humides",Occitanie,Juin,Novembre,
Pseudochorthippus parallelus erythropus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Milieux herbacés mésotrophes à humides,Pyrénées-orientales,Juin ,Novembre,
Pseudochorthippus parallelus parallelus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Strates herbacées diverses,Occitanie,Juin,Novembre,
Pseudochorthippus tatrae,Orthoptera,Caelifera,Non,No,,,,,,,
Pseudomogoplistes squamiger,Orthoptera,Ensifera,Non,No,,,"Plages de galets et d'algues, posidonies, digues, ports",Méditerranée,Janvier,Décembre,Pic en été
Pseudomogoplistes vicentae septentrionalis,Orthoptera,Ensifera,Non,No,,,Plages de galets et d'algues,Bretagne,Juin,Avril,
Psophus stridulus stridulus,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Pelouses, alpages rocailleux, terrasses alluviales, landes sableuses",Occitanie,Juin,Novembre,
Pteronemobius heydenii heydenii,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Marais, rives d'étangs, fossés, suintements",Occitanie,Avril,Octobre,
Pteronemobius lineolatus,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Rives sableuses, graveleuses ou limoneuses de cours d'eau",Occitanie,Juillet,Octobre,
Pyrgomorpha conica conica,Orthoptera,Caelifera,Non,No,,,"Guarrigues, sable, pelouses à Brachypode rameux, à thyms et à cistes",Méditerranée,Avril,Août,
Ramburiella hispanica,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Milieux secs et rocailleux, guarrigues",Méditerranée,Juin,Octobre,
Rhacocleis annulata,Orthoptera,Ensifera,Oui,Stridulation,~ 23,Oui,"Fourrés thermophiles, haies, lisières",Occitanie,Juin,Octobre,
Rhacocleis bonfilsi,Orthoptera,Ensifera,Oui,Stridulation,> 25,Oui,"Maquis, landes, lisières, pelouses buissonnantes",Corse,Juillet,Octobre,
Rhacocleis corsicana,Orthoptera,Ensifera,Oui,Stridulation,> 30,Oui,"Bruyère arborescente, maquis, lisières, pinèdes",Corse,Juin,Octobre,
Rhacocleis germanica,Orthoptera,Ensifera,Oui,Stridulation,> 25,Oui,Strates herbacées hautes et denses,Méditerranée,Juin,Octobre,
Rhacocleis poneli,Orthoptera,Ensifera,Oui,Stridulation,~ 19,Oui,"Ronciers de ripisylves, haies, maquis",Occitanie,Juin,Décembre,
Roeseliana azami azami,Orthoptera,Ensifera,Oui,Stridulation,~ 16,,"Fossés, prairies humides et jonchaies",Occitanie,Juin,Septembre,
Roeseliana azami minor,Orthoptera,Ensifera,Oui,Stridulation,~ 16,,,,,,
Roeseliana roeselii,Orthoptera,Ensifera,Oui,Stridulation,~ 20 ,,Strate herbacée un peu à très humide,Occitanie,Mai,Octobre,
Ruspolia nitidula nitidula,Orthoptera,Ensifera,Oui,Stridulation,~ 16,,Strate arbustive basse et herbacée haute,Occitanie,Juillet,Novembre,
Saga pedo,Orthoptera,Ensifera,Non,No,,,"Pelouses buissonnantes, guarrigues, maquis et fourrés",Occitanie,Juin,Octobre,
Schistocerca gregaria,Orthoptera,Caelifera,Inconnue,Unknown,,,,,,,
Sepiana sepium,Orthoptera,Ensifera,Oui,Stridulation,~ 18 ,,Strate arbustive thermophile,Occitanie,Juin,Octobre,
Sorapagus catalaunicus,Orthoptera,Ensifera,Oui,Stridulation,~ 20 ,Oui,"Pelouses et prairies sèches, buissons, friches",Pyrénées-orientales,Juillet,Novembre,
Sphingonotus caerulans,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Milieux pionniers secs, sableux, graveleux et rocheux",Occitanie,Juin,Novembre,
Sphingonotus corsicus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Milieux pionniers secs et rocheux,Corse,Juin,Octobre,
Sphingonotus rubescens rubescens,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Milieux pionniers secs et rocheux,Pyrénées-orientales,Juin,Octobre,
Sphingonotus uvarovi,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Plages sableuses,Corse,Juin,Septembre,
Stauroderus scalaris scalaris,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Prairies, pelouses et éboulis",Occitanie,Mai,Octobre,
Stenobothrus crassipes,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Stenobothrus cotticus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses et pentes rocailleuses,Alpes,Juillet,Octobre,
Stenobothrus eurasius,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Stenobothrus festivus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses steppiques et crêtes des reliefs moyens,Méditerranée,Mai,Août,
Stenobothrus fischeri fischeri,Orthoptera,Caelifera,Oui,Stridulation,Audible,,,,,,
Stenobothrus fischeri glaucescens,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pelouses, steppes et guarrigues de reliefs de moyenne altitude",Occitanie,Mai,Octobre,
Stenobothrus grammicus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses et guarrigues des reliefs de moyenne altitude,Méditerranée,Juin,Octobre,
Stenobothrus lineatus lineatus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pelouses, pâturages, landes et alpages",Occitanie,Mai,Novembre,
Stenobothrus nigromaculatus nigromaculatus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pelouses rocailleuses, pâturages secs, landes",Occitanie,Juin,Octobre,
Stenobothrus rubicundulus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,Pelouses et pentes rocailleuses,Alpes,Juin,Novembre,
Stenobothrus stigmaticus stigmaticus,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Pâturages et pelouses sur sols acides, strate herbacée rase",Occitanie,Juin,Octobre,
Stenonemobius gracilis,Orthoptera,Ensifera,Inconnue,Unknown,,,,,,,
Stethophyma grossum,Orthoptera,Caelifera,Oui,Stridulation,Audible,,"Prairies humides, marais, tourbières, fossés",Occitanie,Juin,Novembre,
Svercus palmetorum palmetorum,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Prairies temporaires humides, rives d'étangs",Corse,Juillet,Octobre,
Tachycines asynamorus,Orthoptera,Ensifera,Non,No,,,,,,,
Tessellana tessellata tessellata,Orthoptera,Ensifera,Oui,Stridulation,> 30 ,Oui,Strate herbacée à haute végétation,Occitanie,Juin,Octobre,
Tessellana veyseli,Orthoptera,Ensifera,Oui,Stridulation,> 30 ,,,,,,
Tetrix bipunctata,Orthoptera,Caelifera,Non,No,,,"Lisières et clairières en plaines, pâturages et pelouses sèches en altitude",Alpes,Mars,Novembre,
Tetrix bolivari,Orthoptera,Caelifera,Non,No,,,"Milieux inondables, prairies, fossés, vases, étangs",Occitanie,Mars,Octobre,
Tetrix ceperoi ceperoi,Orthoptera,Caelifera,Non,No,,,"Milieux inondables, prairies, fossés, gravières, étangs",Occitanie,Février,Octobre,
Tetrix depressa,Orthoptera,Caelifera,Non,No,,,"Pelouses, éboulis, talus, clairières, lisières et plages de galets",Occitanie,Janvier,Octobre,
Tetrix kraussi,Orthoptera,Caelifera,Non,No,,,"Milieux chauds et secs, rocailles, lisières et bois clairs",Alpes,Mars,Décembre,
Tetrix subulata,Orthoptera,Caelifera,Non,No,,,"Milieux humides : prairies, fossés, rives, lisières, cours d'eau",Occitanie,Mars,Novembre,
Tetrix tenuicornis,Orthoptera,Caelifera,Non,No,,,"Milieux secs au nord (pelouses, talus, carrières) et humides au sud (rivières)",Occitanie,Février,Novembre,
Tetrix tuerki tuerki,Orthoptera,Caelifera,Non,No,,,Rives des cours d'eau des Alpes,Alpes,Mars,Novembre,
Tetrix undulata gavoyi,Orthoptera,Caelifera,Non,No,,,"Milieux humides calcicoles : marais, cours d'eau, fossés",Occitanie,Mars,Novembre,
Tetrix undulata undulata,Orthoptera,Caelifera,Non,No,,,"Milieux humides acides, clairières, tourbières, pâturages",Occitanie,Mars,Décembre,
Tettigettalna argentata,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,"Strate arborée, arbustive et herbacée",Occitanie,Juin,Août,
Tettigettula pygmea,Hemiptera,Cicadomorpha,Oui,Timbalization,16 – 19,,"Strate arborée, haies, bosquets",Occitanie,Mi-mai,Fin juillet,
Tettigonia cantans,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Lisières, mégaphorbiaies, buissons montagnards",Occitanie,Juin,Novembre,
Tettigonia caudata caudata,Orthoptera,Ensifera,Oui,Stridulation,Audible,,,,,,
Tettigonia viridissima,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Friches, prairies buissonnantes, haies, parcs",Occitanie,Juin,Octobre,
Thyreonotus corsicus corsicus,Orthoptera,Ensifera,Oui,Stridulation,~ 19,Oui,"Guarrigues à chênes kermès, lisières de chenaies vertes, fourrés xérothermophiles",Méditerranée,Juin,Décembre,
Tibicina corsica corsica,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arbustive et herbacée,Corse,Juin,Juillet,
Tibicina corsica fairmairei,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arbustive et herbacée,Occitanie,Juillet,Août,
Tibicina garricola,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arborée et arbustive,Méditerranée,Juin,Août,
Tibicina haematodes,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arborée et arbustive,Occitanie,Mai,Août,
Tibicina nigronervosa,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arborée et arbustive,Corse,Juin,Juillet,
Tibicina quadrisignata,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arborée et arbustive,Occitanie,Juin,Juillet,
Tibicina steveni,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arborée et arbustive,Occitanie,Juin,Juillet,
Tibicina picta,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arbustive et herbacée,Méditerranée,Juin,Juillet,
Trigonidium cicindeloides,Orthoptera,Ensifera,Non,No,,,"Prairie, jonchaie, fourrés bas",Provence-Alpes-Côte-d'Azur,Avril,Octobre,
Troglophilus cavicola,Orthoptera,Ensifera,Non,No,,,,,,,
Troglophilus neglectus,Orthoptera,Ensifera,Non,No,,,,,,,
Tropidopola cylindrica cylindrica,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,Milieux humides à végétation dense et haute,Corse,Juillet,Mai,
Tylopsis lilifolia,Orthoptera,Ensifera,Oui,Stridulation,~ 18 ,,"Friches, prairies xéro-thermophiles, garrigues",Occitanie,Juin,Octobre,
Uromenus brevicollis insularis,Orthoptera,Ensifera,Oui,Stridulation,20 – 30,Oui,Strates arbustives et strates herbacées hautes,Corse,Juin,Octobre,
Uromenus rugosicollis,Orthoptera,Ensifera,Oui,Stridulation,Audible,,Strate arbustive ou strate herbacée haute,Occitanie,Juin,Octobre,
Xya pfaendleri,Orthoptera,Caelifera,Non,No,,,,,,,
Xya variegata,Orthoptera,Caelifera,Non,No,,,Plages sablonneuses au bord des rivières et littorals,Méditerranée,Avril,Octobre,
Yersinella beybienkoi,Orthoptera,Ensifera,Oui,Stridulation,> 30,Oui,"Fourrés, pelouses sèches denses, haies, lisières",Provence-Alpes-Côte-d'Azur,Juillet,Octobre,
Yersinella raymondii,Orthoptera,Ensifera,Oui,Stridulation,> 30,Oui,"Fourrés thermophiles, haies, lisières, ripisylves",Occitanie,Juin,Octobre,
Zeuneriana abbreviata,Orthoptera,Ensifera,Oui,Stridulation,~ 16,,"Prairies humides, alpages, lisières, mégaphorbiaies",Occitanie,Juillet,Octobre,
